
        AX        AY        AZ         WX        WY        WZ     AngleX    AngleY    AngleZ
      0.05      0.00      0.14       0.00      0.00      0.00       1.91    -20.28      1.65  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.89    -20.29      1.62  
      0.06      0.00      0.14       0.00     -0.00      0.00       1.91    -20.36      1.63  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.92    -20.28      1.59  
      0.06      0.00      0.13       0.00     -0.00      0.00       1.92    -20.39      1.63  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.92    -20.30      1.56  
      0.06      0.00      0.13       0.00     -0.00      0.00       1.92    -20.42      1.63  
      0.05      0.01      0.14      -0.00      0.01     -0.00       1.92    -20.31      1.57  
      0.06      0.01      0.14       0.00     -0.00      0.00       1.93    -20.43      1.60  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.92    -20.38      1.61  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.91    -20.41      1.61  
      0.06      0.01      0.14       0.00     -0.00      0.00       1.92    -20.44      1.63  
      0.05      0.01      0.14       0.00      0.00     -0.00       1.92    -20.41      1.63  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.91    -20.46      1.66  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.90    -20.43      1.63  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.90    -20.48      1.69  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.90    -20.44      1.65  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.90    -20.52      1.70  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.88    -20.47      1.69  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.89    -20.52      1.71  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.88    -20.51      1.71  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.88    -20.53      1.74  
      0.05      0.00      0.14      -0.00      0.00     -0.00       1.87    -20.52      1.72  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.86    -20.58      1.74  
      0.05      0.00      0.14       0.00      0.00      0.00       1.87    -20.53      1.74  
      0.06      0.01      0.14      -0.00     -0.00     -0.00       1.88    -20.58      1.72  
      0.05      0.00      0.14       0.00      0.00      0.00       1.87    -20.58      1.75  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.87    -20.58      1.72  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.86    -20.60      1.75  
      0.05      0.01      0.14      -0.00     -0.00     -0.00       1.87    -20.63      1.74  
      0.05      0.00      0.14       0.00      0.00      0.00       1.86    -20.62      1.77  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.84    -20.63      1.75  
      0.06      0.00      0.14       0.00     -0.00      0.00       1.85    -20.67      1.78  
      0.05      0.00      0.14      -0.00      0.00     -0.00       1.85    -20.65      1.76  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.85    -20.66      1.77  
      0.06      0.00      0.14      -0.00     -0.00     -0.00       1.83    -20.70      1.76  
